N,state,n,kind,theta,theta_deg,parity_mean,parity_std,n_runs,parity_sem,source_file
3,GHZ,5,scaling,0.5235987755982988,30.0,0.779296875,0.0027621358640099,2,0.001953125,2. wesh7plus_scaling_20250901_121951.csv
3,PRODUCT,5,scaling,0.5235987755982988,30.0,0.4267578125,0.0096674755240348,2,0.0068359374999999,2. wesh7plus_scaling_20250901_121951.csv
3,W,5,scaling,0.5235987755982988,30.0,0.015625,0.0124296113880447,2,0.0087890625,2. wesh7plus_scaling_20250901_121951.csv
4,GHZ,5,scaling,0.5235987755982988,30.0,0.724609375,0.0193349510480696,2,0.0136718749999999,2. wesh7plus_scaling_20250901_121951.csv
4,PRODUCT,5,scaling,0.5235987755982988,30.0,0.38232421875,0.022787620878082,2,0.01611328125,2. wesh7plus_scaling_20250901_121951.csv
4,W,5,scaling,0.5235987755982988,30.0,0.0029296875,0.0013810679320049,2,0.0009765625,2. wesh7plus_scaling_20250901_121951.csv
5,GHZ,5,scaling,0.5235987755982988,30.0,0.65380859375,0.0725060664302612,2,0.05126953125,2. wesh7plus_scaling_20250901_121951.csv
5,PRODUCT,5,scaling,0.5235987755982988,30.0,0.25,0.0290024265721044,2,0.0205078124999999,2. wesh7plus_scaling_20250901_121951.csv
5,W,5,scaling,0.5235987755982988,30.0,0.0302734375,0.0179538831160646,2,0.0126953124999999,2. wesh7plus_scaling_20250901_121951.csv
6,GHZ,5,scaling,0.5235987755982988,30.0,0.3759765625,0.168490287704607,2,0.1191406249999999,2. wesh7plus_scaling_20250901_121951.csv
6,PRODUCT,5,scaling,0.5235987755982988,30.0,0.25146484375,0.0324550964021169,2,0.0229492187499999,2. wesh7plus_scaling_20250901_121951.csv
6,W,5,scaling,0.5235987755982988,30.0,0.00537109375,0.0034526698300124,2,0.00244140625,2. wesh7plus_scaling_20250901_121951.csv
3,GHZ,3,angular,0.3665191429188092,21.0,0.60107421875,0.0214065529460771,2,0.0151367187499999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.4712388980384689,27.0,0.724609375,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.5235987755982988,30.0,0.779296875,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.5759586531581288,33.0,0.80908203125,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.6283185307179586,36.0,0.873046875,0.0179538831160646,2,0.0126953124999999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.6806784082777885,39.0,0.8876953125,0.0,2,0.0,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.7330382858376184,42.0,0.90869140625,0.0006905339660024,2,0.00048828125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,3,angular,0.7853981633974483,45.0,0.89697265625,0.024168688810087,2,0.01708984375,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.3665191429188092,21.0,0.59814453125,0.024168688810087,2,0.01708984375,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.4712388980384689,27.0,0.7275390625,0.0124296113880447,2,0.0087890625,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.5235987755982988,30.0,0.7890625,0.0262402907080945,2,0.0185546875,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.5759586531581288,33.0,0.8388671875,0.0207160189800746,2,0.0146484375,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.6283185307179586,36.0,0.87109375,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.6806784082777885,39.0,0.888671875,0.0220970869120796,2,0.015625,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.7330382858376184,42.0,0.90478515625,0.0103580094900373,2,0.00732421875,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,5,angular,0.7853981633974483,45.0,0.90234375,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.3665191429188092,21.0,0.59130859375,0.0172633491500621,2,0.01220703125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.4712388980384689,27.0,0.72998046875,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.5235987755982988,30.0,0.78564453125,0.0062148056940223,2,0.00439453125,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.5759586531581288,33.0,0.82861328125,0.0214065529460771,2,0.0151367187499999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.6283185307179586,36.0,0.857421875,0.0234781548440845,2,0.0166015624999999,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.6806784082777885,39.0,0.86865234375,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.7330382858376184,42.0,0.89208984375,0.0103580094900373,2,0.00732421875,2. wesh7plus_angular_20250901_121951.csv
3,GHZ,7,angular,0.7853981633974483,45.0,0.88525390625,0.0117390774220422,2,0.0083007812499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.3665191429188092,21.0,0.18310546875,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.4712388980384689,27.0,0.34619140625,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.5235987755982988,30.0,0.419921875,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.5759586531581288,33.0,0.52099609375,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.6283185307179586,36.0,0.5947265625,0.0082864075920298,2,0.0058593749999999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.6806784082777885,39.0,0.62548828125,0.0200254850140721,2,0.0141601562499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.7330382858376184,42.0,0.65283203125,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,3,angular,0.7853981633974483,45.0,0.673828125,0.0041432037960149,2,0.0029296874999999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.3665191429188092,21.0,0.177734375,0.0234781548440845,2,0.0166015624999999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.4712388980384689,27.0,0.36376953125,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.5235987755982988,30.0,0.42919921875,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.5759586531581288,33.0,0.509765625,0.0207160189800746,2,0.0146484375,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.6283185307179586,36.0,0.55322265625,0.025549756742092,2,0.01806640625,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.6806784082777885,39.0,0.6162109375,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.7330382858376184,42.0,0.64990234375,0.0200254850140721,2,0.0141601562499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,5,angular,0.7853981633974483,45.0,0.6513671875,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.3665191429188092,21.0,0.2001953125,0.0386699020961393,2,0.0273437499999999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.4712388980384689,27.0,0.34130859375,0.0117390774220422,2,0.0083007812499999,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.5235987755982988,30.0,0.44921875,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.5759586531581288,33.0,0.517578125,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.6283185307179586,36.0,0.5546875,0.052480581416189,2,0.037109375,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.6806784082777885,39.0,0.61572265625,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.7330382858376184,42.0,0.65185546875,0.0172633491500621,2,0.01220703125,2. wesh7plus_angular_20250901_121951.csv
3,PRODUCT,7,angular,0.7853981633974483,45.0,0.666015625,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.3665191429188092,21.0,0.041015625,0.0041432037960149,2,0.0029296874999999,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.4712388980384689,27.0,0.033203125,0.0207160189800746,2,0.0146484375,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.5235987755982988,30.0,0.0146484375,0.0041432037960149,2,0.0029296874999999,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.5759586531581288,33.0,0.03662109375,0.0062148056940223,2,0.00439453125,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.6283185307179586,36.0,0.04248046875,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.6806784082777885,39.0,0.04833984375,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.7330382858376184,42.0,0.03369140625,0.0172633491500621,2,0.01220703125,2. wesh7plus_angular_20250901_121951.csv
3,W,3,angular,0.7853981633974483,45.0,0.02880859375,0.0131201453540472,2,0.00927734375,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.3665191429188092,21.0,0.013671875,0.0055242717280199,2,0.00390625,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.4712388980384689,27.0,0.03369140625,0.0131201453540472,2,0.00927734375,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.5235987755982988,30.0,0.00732421875,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.5759586531581288,33.0,0.00634765625,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.6283185307179586,36.0,0.02685546875,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.6806784082777885,39.0,0.02099609375,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.7330382858376184,42.0,0.0390625,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,W,5,angular,0.7853981633974483,45.0,0.00390625,0.0041432037960149,2,0.0029296874999999,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.3665191429188092,21.0,0.0107421875,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.4712388980384689,27.0,0.01806640625,0.0158822812180572,2,0.01123046875,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.5235987755982988,30.0,0.03662109375,0.0393604360621418,2,0.0278320312499999,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.5759586531581288,33.0,0.0341796875,0.0082864075920298,2,0.0058593749999999,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.6283185307179586,36.0,0.02734375,0.0234781548440845,2,0.0166015624999999,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.6806784082777885,39.0,0.037109375,0.0220970869120796,2,0.015625,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.7330382858376184,42.0,0.0166015625,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
3,W,7,angular,0.7853981633974483,45.0,0.03857421875,0.0296929605381069,2,0.02099609375,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.3665191429188092,21.0,0.5869140625,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.4712388980384689,27.0,0.69775390625,0.0158822812180572,2,0.01123046875,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.5235987755982988,30.0,0.7529296875,0.0303834945041094,2,0.0214843749999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.5759586531581288,33.0,0.783203125,0.0,2,0.0,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.6283185307179586,36.0,0.81591796875,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.6806784082777885,39.0,0.8388671875,0.0082864075920298,2,0.0058593749999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.7330382858376184,42.0,0.8583984375,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,3,angular,0.7853981633974483,45.0,0.8564453125,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.3665191429188092,21.0,0.56005859375,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.4712388980384689,27.0,0.70361328125,0.0214065529460771,2,0.0151367187499999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.5235987755982988,30.0,0.74951171875,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.5759586531581288,33.0,0.7626953125,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.6283185307179586,36.0,0.810546875,0.0013810679320049,2,0.0009765625,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.6806784082777885,39.0,0.82568359375,0.0006905339660024,2,0.00048828125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.7330382858376184,42.0,0.8271484375,0.0220970869120796,2,0.015625,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,5,angular,0.7853981633974483,45.0,0.8447265625,0.0041432037960149,2,0.0029296874999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.3665191429188092,21.0,0.5625,0.0082864075920298,2,0.0058593749999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.4712388980384689,27.0,0.67724609375,0.0089769415580323,2,0.0063476562499999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.5235987755982988,30.0,0.73876953125,0.0006905339660024,2,0.00048828125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.5759586531581288,33.0,0.7763671875,0.0096674755240348,2,0.0068359374999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.6283185307179586,36.0,0.80126953125,0.0117390774220422,2,0.0083007812499999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.6806784082777885,39.0,0.83203125,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.7330382858376184,42.0,0.8349609375,0.0303834945041094,2,0.0214843749999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.7853981633974483,45.0,0.83935546875,0.0393604360621418,2,0.0278320312499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.3665191429188092,21.0,0.1318359375,0.0138106793200497,2,0.009765625,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.4712388980384689,27.0,0.2568359375,0.0386699020961393,2,0.0273437499999999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.5235987755982988,30.0,0.35888671875,0.0296929605381069,2,0.02099609375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.5759586531581288,33.0,0.45947265625,0.026930824674097,2,0.0190429687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.6283185307179586,36.0,0.54443359375,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.6806784082777885,39.0,0.59765625,0.0207160189800746,2,0.0146484375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.7330382858376184,42.0,0.6171875,0.0138106793200497,2,0.009765625,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.7853981633974483,45.0,0.62744140625,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.3665191429188092,21.0,0.12939453125,0.0186444170820671,2,0.01318359375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.4712388980384689,27.0,0.26416015625,0.0200254850140721,2,0.0141601562499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.5235987755982988,30.0,0.3828125,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.5759586531581288,33.0,0.44677734375,0.0089769415580323,2,0.0063476562499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.6283185307179586,36.0,0.51611328125,0.0103580094900373,2,0.00732421875,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.6806784082777885,39.0,0.57373046875,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.7330382858376184,42.0,0.62841796875,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.7853981633974483,45.0,0.64111328125,0.0145012132860522,2,0.0102539062499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.3665191429188092,21.0,0.13525390625,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.4712388980384689,27.0,0.27099609375,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.5235987755982988,30.0,0.3466796875,0.0096674755240348,2,0.0068359374999999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.5759586531581288,33.0,0.4658203125,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.6283185307179586,36.0,0.5419921875,0.0179538831160646,2,0.0126953124999999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.6806784082777885,39.0,0.58935546875,0.0006905339660024,2,0.00048828125,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.7330382858376184,42.0,0.62353515625,0.0158822812180572,2,0.01123046875,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,7,angular,0.7853981633974483,45.0,0.63330078125,0.0214065529460771,2,0.0151367187499999,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.3665191429188092,21.0,0.02978515625,0.0062148056940223,2,0.00439453125,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.4712388980384689,27.0,0.02587890625,0.0131201453540472,2,0.00927734375,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.5235987755982988,30.0,0.033203125,0.0013810679320049,2,0.0009765625,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.5759586531581288,33.0,0.0078125,0.0082864075920298,2,0.0058593749999999,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.6283185307179586,36.0,0.0380859375,0.0455752417561641,2,0.0322265625,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.6806784082777885,39.0,0.01416015625,0.0131201453540472,2,0.00927734375,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.7330382858376184,42.0,0.0166015625,0.0151917472520547,2,0.0107421874999999,2. wesh7plus_angular_20250901_121951.csv
4,W,3,angular,0.7853981633974483,45.0,0.00390625,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.3665191429188092,21.0,0.02099609375,0.028311892606102,2,0.02001953125,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.4712388980384689,27.0,0.03662109375,0.0172633491500621,2,0.01220703125,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.5235987755982988,30.0,0.03125,0.0,2,0.0,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.5759586531581288,33.0,0.03125,0.0372888341641343,2,0.0263671875,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.6283185307179586,36.0,0.015625,0.0055242717280199,2,0.00390625,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.6806784082777885,39.0,0.04150390625,0.0006905339660024,2,0.00048828125,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.7330382858376184,42.0,0.0087890625,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
4,W,5,angular,0.7853981633974483,45.0,0.00927734375,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.3665191429188092,21.0,0.01904296875,0.0075958736260273,2,0.0053710937499999,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.4712388980384689,27.0,0.013671875,0.0027621358640099,2,0.001953125,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.5235987755982988,30.0,0.01025390625,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.5759586531581288,33.0,0.02587890625,0.0117390774220422,2,0.0083007812499999,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.6283185307179586,36.0,0.01611328125,0.0145012132860522,2,0.0102539062499999,2. wesh7plus_angular_20250901_121951.csv
4,W,7,angular,0.6806784082777885,39.0,0.02001953125,0.0034526698300124,2,0.00244140625,2. wesh7plus_angular_20250901_121951.csv
