state,theta,T_us,n,parity_abs,omega_rad_s,Gamma_raw
PRODUCT,0.7853981633974483,4.5,10,0.798828125,6981317.007977318,49913.215332601336
GHZ,0.5235987755982988,2.5,1,0.7451171875,1256637.0614359174,117685.50972599845
PRODUCT,0.5235987755982988,2.5,1,0.474609375,1256637.0614359174,298105.2726795837
GHZ,0.5235987755982988,2.5,2,0.7470703125,2513274.122871835,116638.3887091669
PRODUCT,0.5235987755982988,2.5,2,0.4384765625,2513274.122871835,329779.56714287953
GHZ,0.5235987755982988,2.5,3,0.7392578125,3769911.184307752,120843.42086480174
PRODUCT,0.5235987755982988,2.5,3,0.4814453125,3769911.184307752,292385.05262270523
GHZ,0.5235987755982988,2.5,4,0.7529296875,5026548.24574367,113513.37281444944
PRODUCT,0.5235987755982988,2.5,4,0.4677734375,5026548.24574367,303908.48327541514
GHZ,0.5235987755982988,2.5,5,0.763671875,6283185.307179587,107846.82602165682
PRODUCT,0.5235987755982988,2.5,5,0.48828125,6283185.307179587,286745.4828709045
GHZ,0.5235987755982988,2.5,6,0.728515625,7539822.368615504,126698.48215827692
PRODUCT,0.5235987755982988,2.5,6,0.466796875,7539822.368615504,304744.4292431989
GHZ,0.5235987755982988,2.5,8,0.7626953125,10053096.49148734,108358.66230390688
PRODUCT,0.5235987755982988,2.5,8,0.4619140625,10053096.49148734,308950.5668430081
GHZ,0.5235987755982988,2.5,10,0.728515625,12566370.614359174,126698.48215827692
PRODUCT,0.5235987755982988,2.5,10,0.42578125,12566370.614359174,341531.8249001675
GHZ,0.5235987755982988,3.5,1,0.712890625,897597.9010256552,96693.50613057608
PRODUCT,0.5235987755982988,3.5,1,0.4677734375,897597.9010256552,217077.48805386797
GHZ,0.5235987755982988,3.5,2,0.76171875,1795195.8020513104,77765.11026166161
PRODUCT,0.5235987755982988,3.5,2,0.4228515625,1795195.8020513104,245924.02217056096
GHZ,0.5235987755982988,3.5,3,0.7431640625,2692793.7030769656,84810.98506793349
PRODUCT,0.5235987755982988,3.5,3,0.4560546875,2692793.7030769656,224326.4422658731
GHZ,0.5235987755982988,3.5,4,0.724609375,3590391.604102621,92035.01783773504
PRODUCT,0.5235987755982988,3.5,4,0.390625,3590391.604102621,268573.5024261346
GHZ,0.5235987755982988,3.5,5,0.73046875,4487989.505128276,89733.9507499931
PRODUCT,0.5235987755982988,3.5,5,0.439453125,4487989.505128276,234921.2065243108
GHZ,0.5235987755982988,3.5,6,0.7490234375,5385587.406153931,82567.14406634198
PRODUCT,0.5235987755982988,3.5,6,0.41015625,5385587.406153931,254633.45552058265
GHZ,0.5235987755982988,3.5,8,0.7412109375,7180783.208205242,85562.86520109234
PRODUCT,0.5235987755982988,3.5,8,0.40625,7180783.208205242,257367.58438233996
GHZ,0.5235987755982988,3.5,10,0.7509765625,8975979.010256551,81823.0960268026
PRODUCT,0.5235987755982988,3.5,10,0.41015625,8975979.010256551,254633.45552058265
GHZ,0.5235987755982988,4.5,1,0.705078125,698131.7007977318,77654.81482369486
PRODUCT,0.5235987755982988,4.5,1,0.4248046875,698131.7007977318,190250.1721135042
GHZ,0.5235987755982988,4.5,2,0.7314453125,1396263.4015954635,69496.18268494081
PRODUCT,0.5235987755982988,4.5,2,0.443359375,1396263.4015954635,180749.91279069
GHZ,0.5235987755982988,4.5,3,0.71875,2094395.1023931955,73387.04152679486
PRODUCT,0.5235987755982988,4.5,3,0.439453125,2094395.1023931955,182716.4939633528
GHZ,0.5235987755982988,4.5,4,0.7236328125,2792526.803190927,71882.48451185915
PRODUCT,0.5235987755982988,4.5,4,0.435546875,2792526.803190927,184700.63412875312
GHZ,0.5235987755982988,4.5,5,0.734375,3490658.503988659,68607.88481102517
PRODUCT,0.5235987755982988,4.5,5,0.462890625,3490658.503988659,171169.8853120837
GHZ,0.5235987755982988,4.5,6,0.7412109375,4188790.204786391,66548.89515640515
PRODUCT,0.5235987755982988,4.5,6,0.4921875,4188790.204786391,157532.34167290764
GHZ,0.5235987755982988,4.5,8,0.73046875,5585053.606381854,69793.07280555018
PRODUCT,0.5235987755982988,4.5,8,0.4404296875,5585053.606381854,182223.2146881722
GHZ,0.5235987755982988,4.5,10,0.73828125,6981317.007977318,67428.9843155378
PRODUCT,0.5235987755982988,4.5,10,0.4677734375,6981317.007977318,168838.0462641195
GHZ,0.7853981633974483,2.5,1,0.876953125,1256637.0614359174,52520.694918901405
PRODUCT,0.7853981633974483,2.5,1,0.6826171875,1256637.0614359174,152728.42534625714
GHZ,0.7853981633974483,2.5,2,0.8876953125,2513274.122871835,47650.68456878971
PRODUCT,0.7853981633974483,2.5,2,0.708984375,2513274.122871835,137568.71630986282
GHZ,0.7853981633974483,2.5,3,0.8837890625,3769911.184307752,49414.7447598108
PRODUCT,0.7853981633974483,2.5,3,0.7392578125,3769911.184307752,120843.42086480174
GHZ,0.7853981633974483,2.5,4,0.8955078125,5026548.24574367,44145.7333371953
PRODUCT,0.7853981633974483,2.5,4,0.7744140625,5026548.24574367,102259.43358584204
GHZ,0.7853981633974483,2.5,5,0.8759765625,6283185.307179587,52966.3774162628
PRODUCT,0.7853981633974483,2.5,5,0.775390625,6283185.307179587,101755.33774092696
GHZ,0.7853981633974483,2.5,6,0.873046875,7539822.368615504,54306.41217037559
PRODUCT,0.7853981633974483,2.5,6,0.7568359375,7539822.368615504,111443.51049844244
GHZ,0.7853981633974483,2.5,8,0.8759765625,10053096.49148734,52966.3774162628
PRODUCT,0.7853981633974483,2.5,8,0.75390625,10053096.49148734,112994.90222987076
GHZ,0.7853981633974483,2.5,10,0.8916015625,12566370.614359174,45894.37000179385
PRODUCT,0.7853981633974483,2.5,10,0.75390625,12566370.614359174,112994.90222987076
GHZ,0.7853981633974483,3.5,1,0.865234375,897597.9010256552,41358.52999839205
PRODUCT,0.7853981633974483,3.5,1,0.7646484375,897597.9010256552,76668.31703104285
GHZ,0.7853981633974483,3.5,2,0.876953125,1795195.8020513104,37514.782084929575
PRODUCT,0.7853981633974483,3.5,2,0.7373046875,1795195.8020513104,87072.58752869382
GHZ,0.7853981633974483,3.5,3,0.865234375,2692793.7030769656,41358.52999839205
PRODUCT,0.7853981633974483,3.5,3,0.759765625,2692793.7030769656,78498.65183458899
GHZ,0.7853981633974483,3.5,4,0.865234375,3590391.604102621,41358.52999839205
PRODUCT,0.7853981633974483,3.5,4,0.744140625,3590391.604102621,84435.78568937338
GHZ,0.7853981633974483,3.5,5,0.873046875,4487989.505128276,38790.29440741113
PRODUCT,0.7853981633974483,3.5,5,0.7666015625,4487989.505128276,75939.45366201276
GHZ,0.7853981633974483,3.5,6,0.85546875,5385587.406153931,44601.63276087476
PRODUCT,0.7853981633974483,3.5,6,0.765625,5385587.406153931,76303.65292829864
GHZ,0.7853981633974483,3.5,8,0.865234375,7180783.208205242,41358.52999839205
PRODUCT,0.7853981633974483,3.5,8,0.7685546875,7180783.208205242,75212.44490915712
GHZ,0.7853981633974483,3.5,10,0.8525390625,8975979.010256551,45581.78564567168
PRODUCT,0.7853981633974483,3.5,10,0.7763671875,8975979.010256551,72322.76884146321
GHZ,0.7853981633974483,4.5,1,0.8193359375,698131.7007977318,44280.24425161042
PRODUCT,0.7853981633974483,4.5,1,0.75,698131.7007977318,63929.34943372909
GHZ,0.7853981633974483,4.5,2,0.833984375,1396263.4015954635,40342.35818019627
PRODUCT,0.7853981633974483,4.5,2,0.7265625,1396263.4015954635,70984.61572585805
GHZ,0.7853981633974483,4.5,3,0.8408203125,2094395.1023931955,38528.289149271615
PRODUCT,0.7853981633974483,4.5,3,0.7431640625,2094395.1023931955,65964.09949728161
GHZ,0.7853981633974483,4.5,4,0.8359375,2792526.803190927,39822.53987949133
PRODUCT,0.7853981633974483,4.5,4,0.7763671875,2792526.803190927,56251.04243224916
GHZ,0.7853981633974483,4.5,5,0.8544921875,3490658.503988659,34943.98205374193
PRODUCT,0.7853981633974483,4.5,5,0.765625,3490658.503988659,59347.28561089894
GHZ,0.7853981633974483,4.5,6,0.8701171875,4188790.204786391,30917.19513969862
PRODUCT,0.7853981633974483,4.5,6,0.72265625,4188790.204786391,72182.58208916392
GHZ,0.7853981633974483,4.5,8,0.86328125,5585053.606381854,32669.942880402148
PRODUCT,0.7853981633974483,4.5,8,0.75,5585053.606381854,63929.34943372909
GHZ,0.7853981633974483,4.5,10,0.8544921875,6981317.007977318,34943.98205374193
PRODUCT,0.7853981633974483,4.5,10,0.7275390625,6981317.007977318,70686.13049330968
GHZ,0.5235987755982988,2.5,1,0.7724609375,1256637.0614359174,103269.53513271968
PRODUCT,0.5235987755982988,2.5,1,0.4345703125,1256637.0614359174,333359.0093732852
GHZ,0.5235987755982988,2.5,2,0.74609375,2513274.122871835,117161.60657317306
PRODUCT,0.5235987755982988,2.5,2,0.4228515625,2513274.122871835,344293.63103878533
GHZ,0.5235987755982988,2.5,3,0.7724609375,3769911.184307752,103269.53513271968
PRODUCT,0.5235987755982988,2.5,3,0.4296875,3769911.184307752,337878.8314748585
GHZ,0.5235987755982988,2.5,4,0.78515625,5026548.24574367,96749.0145681947
PRODUCT,0.5235987755982988,2.5,4,0.40625,5026548.24574367,360314.618135276
GHZ,0.5235987755982988,2.5,5,0.7841796875,6283185.307179587,97246.83666107657
PRODUCT,0.5235987755982988,2.5,5,0.451171875,6283185.307179587,318362.7658070857
GHZ,0.5235987755982988,2.5,6,0.78125,7539822.368615504,98744.03117261032
PRODUCT,0.5235987755982988,2.5,6,0.4326171875,7539822.368615504,335160.814221727
GHZ,0.5235987755982988,2.5,8,0.7353515625,10053096.49148734,122962.63111982384
PRODUCT,0.5235987755982988,2.5,8,0.4775390625,10053096.49148734,295643.72644983244
GHZ,0.5235987755982988,2.5,10,0.775390625,12566370.614359174,101755.33774092696
PRODUCT,0.5235987755982988,2.5,10,0.4365234375,12566370.614359174,331565.28439435374
GHZ,0.5235987755982988,3.5,1,0.744140625,897597.9010256552,84435.78568937338
PRODUCT,0.5235987755982988,3.5,1,0.455078125,897597.9010256552,224938.9061353735
GHZ,0.5235987755982988,3.5,2,0.7255859375,1795195.8020513104,91650.21739476969
PRODUCT,0.5235987755982988,3.5,2,0.43359375,1795195.8020513104,238756.35519063668
GHZ,0.5235987755982988,3.5,3,0.7431640625,2692793.7030769656,84810.98506793349
PRODUCT,0.5235987755982988,3.5,3,0.453125,2692793.7030769656,226167.78667805647
GHZ,0.5235987755982988,3.5,4,0.7470703125,3590391.604102621,83313.13479226206
PRODUCT,0.5235987755982988,3.5,4,0.41796875,3590391.604102621,249242.46000504465
GHZ,0.5235987755982988,3.5,5,0.748046875,4487989.505128276,82939.8959596748
PRODUCT,0.5235987755982988,3.5,5,0.4755859375,4487989.505128276,212345.05214767525
GHZ,0.5235987755982988,3.5,6,0.7490234375,5385587.406153931,82567.14406634198
PRODUCT,0.5235987755982988,3.5,6,0.43359375,5385587.406153931,238756.35519063668
GHZ,0.5235987755982988,3.5,8,0.7431640625,7180783.208205242,84810.98506793349
PRODUCT,0.5235987755982988,3.5,8,0.45703125,7180783.208205242,223715.2884805161
GHZ,0.5235987755982988,3.5,10,0.7353515625,8975979.010256551,87830.45079987416
PRODUCT,0.5235987755982988,3.5,10,0.400390625,8975979.010256551,261518.47025745703
GHZ,0.5235987755982988,4.5,1,0.7109375,698131.7007977318,75815.72386728159
PRODUCT,0.5235987755982988,4.5,1,0.4453125,698131.7007977318,179773.11024112598
GHZ,0.5235987755982988,4.5,2,0.7451171875,1396263.4015954635,65380.83873666579
PRODUCT,0.5235987755982988,4.5,2,0.44140625,1396263.4015954635,181731.02794827157
GHZ,0.5235987755982988,4.5,3,0.7509765625,2094395.1023931955,63640.18579862424
PRODUCT,0.5235987755982988,4.5,3,0.494140625,2094395.1023931955,156652.25251377502
GHZ,0.5235987755982988,4.5,4,0.7333984375,2792526.803190927,68903.58974118184
PRODUCT,0.5235987755982988,4.5,4,0.501953125,2792526.803190927,153166.3422542862
GHZ,0.5235987755982988,4.5,5,0.73828125,3490658.503988659,67428.9843155378
PRODUCT,0.5235987755982988,4.5,5,0.5166015625,3490658.503988659,146774.0830535897
GHZ,0.5235987755982988,4.5,6,0.7099609375,4188790.204786391,76121.18401465194
PRODUCT,0.5235987755982988,4.5,6,0.515625,4188790.204786391,147194.56042070923
GHZ,0.5235987755982988,4.5,8,0.7099609375,5585053.606381854,76121.18401465194
PRODUCT,0.5235987755982988,4.5,8,0.4814453125,5585053.606381854,162436.14034594732
GHZ,0.5235987755982988,4.5,10,0.7275390625,6981317.007977318,70686.13049330968
PRODUCT,0.5235987755982988,4.5,10,0.4892578125,6981317.007977318,158859.04544768628
GHZ,0.7853981633974483,2.5,1,0.87890625,1256637.0614359174,51630.81691005695
PRODUCT,0.7853981633974483,2.5,1,0.77734375,1256637.0614359174,100749.04790202805
GHZ,0.7853981633974483,2.5,2,0.8837890625,2513274.122871835,49414.7447598108
PRODUCT,0.7853981633974483,2.5,2,0.7861328125,2513274.122871835,96251.8112723559
GHZ,0.7853981633974483,2.5,3,0.896484375,3769911.184307752,43709.76599158506
PRODUCT,0.7853981633974483,2.5,3,0.7900390625,3769911.184307752,94269.15541638456
GHZ,0.7853981633974483,2.5,4,0.8916015625,5026548.24574367,45894.37000179385
PRODUCT,0.7853981633974483,2.5,4,0.7724609375,5026548.24574367,103269.53513271968
GHZ,0.7853981633974483,2.5,5,0.90234375,6283185.307179587,41103.89358310758
PRODUCT,0.7853981633974483,2.5,5,0.79296875,6283185.307179587,92788.58617511006
GHZ,0.7853981633974483,2.5,6,0.908203125,7539822.368615504,38514.88778086059
PRODUCT,0.7853981633974483,2.5,6,0.7880859375,7539822.368615504,95259.25493180173
GHZ,0.7853981633974483,2.5,8,0.9013671875,10053096.49148734,41537.02843864037
PRODUCT,0.7853981633974483,2.5,8,0.7978515625,10053096.49148734,90333.08429578008
GHZ,0.7853981633974483,2.5,10,0.8828125,12566370.614359174,49856.978082910646
PRODUCT,0.7853981633974483,2.5,10,0.791015625,12566370.614359174,93775.02317318748
GHZ,0.7853981633974483,3.5,1,0.869140625,897597.9010256552,40071.52653521931
PRODUCT,0.7853981633974483,3.5,1,0.7587890625,897597.9010256552,78866.1300662302
GHZ,0.7853981633974483,3.5,2,0.8798828125,1795195.8020513104,36561.870854604334
PRODUCT,0.7853981633974483,3.5,2,0.7705078125,1795195.8020513104,74487.28135816539
GHZ,0.7853981633974483,3.5,3,0.8662109375,2692793.7030769656,41036.235225678174
PRODUCT,0.7853981633974483,3.5,3,0.7939453125,2692793.7030769656,65925.91315761214
GHZ,0.7853981633974483,3.5,4,0.8759765625,3590391.604102621,37833.126725902
PRODUCT,0.7853981633974483,3.5,4,0.77734375,3590391.604102621,71963.60564430575
GHZ,0.7853981633974483,3.5,5,0.8798828125,4487989.505128276,36561.870854604334
PRODUCT,0.7853981633974483,3.5,5,0.7451171875,4487989.505128276,84061.07837571316
GHZ,0.7853981633974483,3.5,6,0.8662109375,5385587.406153931,41036.235225678174
PRODUCT,0.7853981633974483,3.5,6,0.75,5385587.406153931,82194.87784336598
GHZ,0.7853981633974483,3.5,8,0.8759765625,7180783.208205242,37833.126725902
PRODUCT,0.7853981633974483,3.5,8,0.751953125,7180783.208205242,81451.79735763531
GHZ,0.7853981633974483,3.5,10,0.8759765625,8975979.010256551,37833.126725902
PRODUCT,0.7853981633974483,3.5,10,0.7353515625,8975979.010256551,87830.45079987416
GHZ,0.7853981633974483,4.5,1,0.857421875,698131.7007977318,34183.380436519205
PRODUCT,0.7853981633974483,4.5,1,0.7685546875,698131.7007977318,58498.56826267775
GHZ,0.7853981633974483,4.5,2,0.837890625,1396263.4015954635,39303.9346914424
PRODUCT,0.7853981633974483,4.5,2,0.75,1396263.4015954635,63929.34943372909
GHZ,0.7853981633974483,4.5,3,0.8603515625,2094395.1023931955,33425.37325850524
PRODUCT,0.7853981633974483,4.5,3,0.7578125,2094395.1023931955,61626.5078702743
GHZ,0.7853981633974483,4.5,4,0.8515625,2792526.803190927,35707.19593121632
PRODUCT,0.7853981633974483,4.5,4,0.7529296875,2792526.803190927,63062.98489691636
GHZ,0.7853981633974483,4.5,5,0.8583984375,3490658.503988659,33930.42398095025
PRODUCT,0.7853981633974483,4.5,5,0.72265625,3490658.503988659,72182.58208916392
GHZ,0.7853981633974483,4.5,6,0.8486328125,4188790.204786391,36473.04007423579
PRODUCT,0.7853981633974483,4.5,6,0.818359375,4188790.204786391,44545.267803860006
GHZ,0.7853981633974483,4.5,8,0.865234375,5585053.606381854,32167.74555430492
PRODUCT,0.7853981633974483,4.5,8,0.787109375,5585053.606381854,53197.34735396107
GHZ,0.7853981633974483,4.5,10,0.8447265625,6981317.007977318,37498.28859279417
PRODUCT,0.7853981633974483,4.5,10,0.7802734375,6981317.007977318,55135.7466295952
GHZ,0.5235987755982988,2.5,1,0.755859375,1256637.0614359174,111959.9728038904
PRODUCT,0.5235987755982988,2.5,1,0.4345703125,1256637.0614359174,333359.0093732852
GHZ,0.5235987755982988,2.5,2,0.7509765625,2513274.122871835,114552.33443752363
PRODUCT,0.5235987755982988,2.5,2,0.4267578125,2513274.122871835,340615.4442015452
GHZ,0.5235987755982988,2.5,3,0.7578125,3769911.184307752,110927.71416649377
PRODUCT,0.5235987755982988,2.5,3,0.4892578125,3769911.184307752,285946.2818058354
GHZ,0.5235987755982988,2.5,4,0.7724609375,5026548.24574367,103269.53513271968
PRODUCT,0.5235987755982988,2.5,4,0.439453125,5026548.24574367,328889.6891340351
GHZ,0.5235987755982988,2.5,5,0.73828125,6283185.307179587,121372.17176796804
PRODUCT,0.5235987755982988,2.5,5,0.439453125,6283185.307179587,328889.6891340351
GHZ,0.5235987755982988,2.5,6,0.7236328125,7539822.368615504,129388.4721213465
PRODUCT,0.5235987755982988,2.5,6,0.4150390625,7539822.368615504,351753.05467001454
GHZ,0.5235987755982988,2.5,8,0.73046875,10053096.49148734,125627.53104999034
PRODUCT,0.5235987755982988,2.5,8,0.4453125,10053096.49148734,323591.5984340268
GHZ,0.5235987755982988,2.5,10,0.7646484375,12566370.614359174,107335.64384346
PRODUCT,0.5235987755982988,2.5,10,0.4482421875,12566370.614359174,320968.6382155632
GHZ,0.5235987755982988,3.5,1,0.7373046875,897597.9010256552,87072.58752869382
PRODUCT,0.5235987755982988,3.5,1,0.4189453125,897597.9010256552,248575.6819061246
GHZ,0.5235987755982988,3.5,2,0.7275390625,1795195.8020513104,90882.16777711244
PRODUCT,0.5235987755982988,3.5,2,0.48046875,1795195.8020513104,209426.59688775573
GHZ,0.5235987755982988,3.5,3,0.7490234375,2692793.7030769656,82567.14406634198
PRODUCT,0.5235987755982988,3.5,3,0.498046875,2692793.7030769656,199160.3085374519
GHZ,0.5235987755982988,3.5,4,0.736328125,3590391.604102621,87451.26788328486
PRODUCT,0.5235987755982988,3.5,4,0.45703125,3590391.604102621,223715.2884805161
GHZ,0.5235987755982988,3.5,5,0.72265625,4487989.505128276,92806.1769717822
PRODUCT,0.5235987755982988,3.5,5,0.4658203125,4487989.505128276,218272.94706031767
GHZ,0.5235987755982988,3.5,6,0.7353515625,5385587.406153931,87830.45079987416
PRODUCT,0.5235987755982988,3.5,6,0.4326171875,5385587.406153931,239400.58158694784
GHZ,0.5235987755982988,3.5,8,0.7412109375,7180783.208205242,85562.86520109234
PRODUCT,0.5235987755982988,3.5,8,0.4453125,7180783.208205242,231136.85602430484
GHZ,0.5235987755982988,3.5,10,0.775390625,8975979.010256551,72682.38410066211
PRODUCT,0.5235987755982988,3.5,10,0.4462890625,8975979.010256551,230510.97563007096
GHZ,0.5235987755982988,4.5,1,0.7197265625,698131.7007977318,73085.31409113698
PRODUCT,0.5235987755982988,4.5,1,0.45703125,698131.7007977318,174000.7799292903
GHZ,0.5235987755982988,4.5,2,0.6904296875,1396263.4015954635,82320.25326730675
PRODUCT,0.5235987755982988,4.5,2,0.466796875,1396263.4015954635,169302.46069066602
GHZ,0.5235987755982988,4.5,3,0.7509765625,2094395.1023931955,63640.18579862424
PRODUCT,0.5235987755982988,4.5,3,0.4697265625,2094395.1023931955,167912.1189985982
GHZ,0.5235987755982988,4.5,4,0.7294921875,2792526.803190927,70090.36010369685
PRODUCT,0.5235987755982988,4.5,4,0.4677734375,2792526.803190927,168838.0462641195
GHZ,0.5235987755982988,4.5,5,0.7314453125,3490658.503988659,69496.18268494081
PRODUCT,0.5235987755982988,4.5,5,0.4921875,3490658.503988659,157532.34167290764
GHZ,0.5235987755982988,4.5,6,0.7158203125,4188790.204786391,74294.6897139559
PRODUCT,0.5235987755982988,4.5,6,0.4619140625,4188790.204786391,171639.20380167113
GHZ,0.5235987755982988,4.5,8,0.73046875,5585053.606381854,69793.07280555018
PRODUCT,0.5235987755982988,4.5,8,0.443359375,5585053.606381854,180749.91279069
GHZ,0.5235987755982988,4.5,10,0.7138671875,6981317.007977318,74901.85463326101
PRODUCT,0.5235987755982988,4.5,10,0.4697265625,6981317.007977318,167912.1189985982
GHZ,0.7853981633974483,2.5,1,0.865234375,1256637.0614359174,57901.94199774887
PRODUCT,0.7853981633974483,2.5,1,0.7119140625,1256637.0614359174,135919.22943631798
GHZ,0.7853981633974483,2.5,2,0.892578125,2513274.122871835,45456.49365812124
PRODUCT,0.7853981633974483,2.5,2,0.7255859375,2513274.122871835,128310.30435267756
GHZ,0.7853981633974483,2.5,3,0.8896484375,3769911.184307752,46771.56333579792
PRODUCT,0.7853981633974483,2.5,3,0.7197265625,3769911.184307752,131553.5653640466
GHZ,0.7853981633974483,2.5,4,0.9033203125,5026548.24574367,40671.22723481116
PRODUCT,0.7853981633974483,2.5,4,0.7431640625,5026548.24574367,118735.37909510692
GHZ,0.7853981633974483,2.5,5,0.8798828125,6283185.307179587,51186.61919644608
PRODUCT,0.7853981633974483,2.5,5,0.7431640625,6283185.307179587,118735.37909510692
GHZ,0.7853981633974483,2.5,6,0.880859375,7539822.368615504,50742.914214731776
PRODUCT,0.7853981633974483,2.5,6,0.7861328125,7539822.368615504,96251.8112723559
GHZ,0.7853981633974483,2.5,8,0.880859375,10053096.49148734,50742.914214731776
PRODUCT,0.7853981633974483,2.5,8,0.751953125,10053096.49148734,114032.51630068944
GHZ,0.7853981633974483,2.5,10,0.8779296875,12566370.614359174,52075.50845113313
PRODUCT,0.7853981633974483,2.5,10,0.7373046875,12566370.614359174,121901.62254017136
GHZ,0.7853981633974483,3.5,1,0.826171875,897597.9010256552,54557.84171235137
PRODUCT,0.7853981633974483,3.5,1,0.7353515625,897597.9010256552,87830.45079987416
GHZ,0.7853981633974483,3.5,2,0.8583984375,1795195.8020513104,43624.83083265032
PRODUCT,0.7853981633974483,3.5,2,0.7265625,1795195.8020513104,91265.93450467465
GHZ,0.7853981633974483,3.5,3,0.876953125,2692793.7030769656,37514.782084929575
PRODUCT,0.7853981633974483,3.5,3,0.748046875,2692793.7030769656,82939.8959596748
GHZ,0.7853981633974483,3.5,4,0.865234375,3590391.604102621,41358.52999839205
PRODUCT,0.7853981633974483,3.5,4,0.7685546875,3590391.604102621,75212.44490915712
GHZ,0.7853981633974483,3.5,5,0.8544921875,4487989.505128276,44927.97692623962
PRODUCT,0.7853981633974483,3.5,5,0.7763671875,4487989.505128276,72322.76884146321
GHZ,0.7853981633974483,3.5,6,0.8505859375,5385587.406153931,46237.09392770008
PRODUCT,0.7853981633974483,3.5,6,0.79296875,5385587.406153931,66277.56155365004
GHZ,0.7853981633974483,3.5,8,0.865234375,7180783.208205242,41358.52999839205
PRODUCT,0.7853981633974483,3.5,8,0.7646484375,7180783.208205242,76668.31703104285
GHZ,0.7853981633974483,3.5,10,0.857421875,8975979.010256551,43950.060561238985
PRODUCT,0.7853981633974483,3.5,10,0.78515625,8975979.010256551,69106.43897728193
GHZ,0.7853981633974483,4.5,1,0.8427734375,698131.7007977318,38012.69211467225
PRODUCT,0.7853981633974483,4.5,1,0.763671875,698131.7007977318,59914.90334536489
GHZ,0.7853981633974483,4.5,2,0.8310546875,1396263.4015954635,41124.37267246199
PRODUCT,0.7853981633974483,4.5,2,0.7568359375,1396263.4015954635,61913.06138802357
GHZ,0.7853981633974483,4.5,3,0.8466796875,2094395.1023931955,36985.07307086916
PRODUCT,0.7853981633974483,4.5,3,0.765625,2094395.1023931955,59347.28561089894
GHZ,0.7853981633974483,4.5,4,0.837890625,2792526.803190927,39303.9346914424
PRODUCT,0.7853981633974483,4.5,4,0.7861328125,2792526.803190927,53473.22848464216
GHZ,0.7853981633974483,4.5,5,0.8349609375,3490658.503988659,40082.29703615397
PRODUCT,0.7853981633974483,4.5,5,0.775390625,3490658.503988659,56530.74318940386
GHZ,0.7853981633974483,4.5,6,0.8466796875,4188790.204786391,36985.07307086916
PRODUCT,0.7853981633974483,4.5,6,0.7431640625,4188790.204786391,65964.09949728161
GHZ,0.7853981633974483,4.5,8,0.87109375,5585053.606381854,30667.92733765416
PRODUCT,0.7853981633974483,4.5,8,0.7470703125,5585053.606381854,64799.10483842605
GHZ,0.7853981633974483,4.5,10,0.8427734375,6981317.007977318,38012.69211467225
PRODUCT,0.7853981633974483,4.5,10,0.7255859375,6981317.007977318,71283.5024181542
